roll no | spi_1  |  spi_2  |  cpi  |
-------------------------------------
240103  |  10.00  |  10.00  |  10.00  | 
240229  |  10.00  |  10.00  |  10.00  | 
240465  |  9.88  |  10.00  |  9.94  | 
240524  |  10.00  |  9.83  |  9.91  | 
240966  |  9.78  |  10.00  |  9.90  | 
240149  |  10.00  |  9.72  |  9.87  | 
240426  |  9.85  |  9.88  |  9.87  | 
240749  |  10.00  |  9.83  |  9.87  | 
240393  |  9.83  |  9.85  |  9.84  | 
240335  |  9.83  |  9.85  |  9.84  | 
240943  |  9.62  |  10.00  |  9.82  | 
240842  |  9.74  |  9.88  |  9.82  | 
240043  |  9.83  |  9.74  |  9.79  | 
240184  |  9.71  |  9.85  |  9.78  | 
240965  |  9.72  |  9.77  |  9.74  | 
240497  |  9.72  |  9.71  |  9.71  | 
240854  |  9.67  |  9.75  |  9.71  | 
240672  |  9.74  |  9.65  |  9.69  | 
240268  |  9.40  |  10.00  |  9.68  | 
241147  |  9.72  |  9.65  |  9.68  | 
240185  |  9.60  |  9.74  |  9.66  | 
240551  |  9.94  |  9.30  |  9.64  | 
241169  |  9.56  |  9.70  |  9.63  | 
240031  |  9.42  |  9.87  |  9.63  | 
241052  |  9.87  |  9.42  |  9.63  | 
240137  |  9.54  |  9.72  |  9.62  | 
240762  |  9.78  |  9.48  |  9.62  | 
240814  |  9.52  |  9.71  |  9.62  | 
240971  |  9.72  |  9.48  |  9.59  | 
240959  |  10.00  |  9.44  |  9.58  | 
240171  |  9.65  |  9.46  |  9.56  | 
240753  |  9.46  |  9.65  |  9.56  | 
240976  |  9.50  |  9.58  |  9.54  | 
240359  |  9.28  |  9.77  |  9.54  | 
240950  |  9.43  |  9.60  |  9.52  | 
241166  |  9.43  |  9.60  |  9.52  | 
240480  |  9.44  |  9.59  |  9.51  | 
240018  |  9.29  |  9.74  |  9.50  | 
240447  |  9.46  |  9.54  |  9.50  | 
240196  |  9.63  |  9.33  |  9.49  | 
240768  |  9.65  |  9.33  |  9.48  | 
240994  |  9.33  |  9.60  |  9.47  | 
240246  |  9.52  |  9.35  |  9.44  | 
240390  |  9.27  |  9.61  |  9.43  | 
240489  |  9.71  |  9.11  |  9.43  | 
240674  |  9.48  |  9.36  |  9.42  | 
240360  |  9.22  |  9.60  |  9.42  | 
241028  |  9.30  |  9.48  |  9.40  | 
241104  |  9.43  |  9.37  |  9.40  | 
240826  |  9.08  |  9.74  |  9.39  | 
241073  |  9.22  |  9.54  |  9.39  | 
240351  |  9.56  |  9.17  |  9.38  | 
240642  |  9.00  |  9.69  |  9.37  | 
241211  |  9.30  |  9.42  |  9.37  | 
240296  |  9.27  |  9.46  |  9.36  | 
240525  |  9.20  |  9.48  |  9.35  | 
240016  |  8.87  |  9.87  |  9.34  | 
240563  |  9.57  |  9.10  |  9.32  | 
240075  |  9.48  |  9.11  |  9.31  | 
241041  |  9.24  |  9.37  |  9.31  | 
240241  |  9.12  |  9.50  |  9.30  | 
240650  |  9.09  |  9.48  |  9.30  | 
240760  |  9.59  |  9.02  |  9.29  | 
240963  |  9.07  |  9.46  |  9.28  | 
241137  |  9.43  |  9.13  |  9.28  | 
240501  |  9.21  |  9.33  |  9.27  | 
240541  |  9.10  |  9.46  |  9.27  | 
240889  |  9.30  |  9.23  |  9.27  | 
241001  |  8.96  |  9.54  |  9.27  | 
240488  |  9.07  |  9.42  |  9.26  | 
240759  |  9.41  |  9.12  |  9.26  | 
240935  |  8.65  |  9.77  |  9.24  | 
240451  |  9.60  |  8.80  |  9.22  | 
240087  |  9.10  |  9.33  |  9.20  | 
240224  |  9.08  |  9.35  |  9.20  | 
240763  |  9.13  |  9.25  |  9.19  | 
241056  |  9.07  |  9.31  |  9.19  | 
240533  |  9.17  |  9.20  |  9.18  | 
